Année;PremierPrenom;Sexe;Naissances;Classement
2023;OHANA;F;9;1
2023;KIANA;F;9;2
2023;KAIMANA;M;8;3
2023;MANEA;M;8;4
2023;TEMEIO;M;8;5
2023;MERAHI;F;8;6
2023;KEANUI;M;7;7
2023;HIA'AI;F;7;8
2023;HIA'AI;M;7;9
2023;KAILI;F;7;10
2023;KYLIAN;M;7;11
2023;KUMUHEI;F;7;12
2023;NANIHI;F;7;13
2023;NUIHAU;M;6;14
2023;HANIHEI;F;6;15
2023;KEANU;M;6;16
2023;ANAVAI;F;6;17
2023;AYDEN;M;6;18
2023;HAUMANA;M;6;19
2023;KAHANUI;M;6;20
2022;KAHANUI;M;14;1
2022;ANAVAI;F;11;2
2022;KEANU;M;10;3
2022;HIA'AI;F;10;4
2022;MANEA;M;9;5
2022;KAHAIA;F;9;6
2022;KYLE;M;8;7
2022;HANIVAI;F;8;8
2022;OHANA;F;8;9
2022;KIANA;F;8;10
2022;MIHIVAI;F;8;11
2022;MANOA;M;7;12
2022;HINATEA;F;7;13
2022;MANATEA;M;7;14
2022;ORIHEI;F;7;15
2022;MANAHAU;M;6;16
2022;NOAH;M;6;17
2022;KAIMANA;M;6;18
2022;TAHIARII;M;6;19
2022;KAINOA;M;6;20
2021;OHANA;F;19;1
2021;GABRIEL;M;10;2
2021;LIAM;M;10;3
2021;KIANA;F;9;4
2021;KEONI;M;8;5
2021;MANOA;M;8;6
2021;MANAHAU;M;8;7
2021;KEANU;M;8;8
2021;HANIVAI;F;8;9
2021;AHONUI;M;7;10
2021;NATIHERE;F;7;11
2021;MANATEA;M;7;12
2021;OHANI;F;7;13
2021;KYLIAN;M;6;14
2021;KAHANUI;M;6;15
2021;HITINUI;M;6;16
2021;ANUHEA;F;6;17
2021;ALAKA'I;M;6;18
2021;HEIARII;M;6;19
2021;ORIHEI;F;6;20
2020;KAHANUI;M;15;1
2020;OHANA;F;11;2
2020;HAKAIKI;M;9;3
2020;KEANU;M;9;4
2020;MANATEA;M;9;5
2020;MAUNAKEA;M;8;6
2020;ARIIHERE;M;8;7
2020;MIHIANA;F;8;8
2020;AYDEN;M;8;9
2020;HINAVAI;F;7;10
2020;MANAHAU;M;7;11
2020;KEAHINUI;M;7;12
2020;HEIANI;F;7;13
2020;HANAITI;F;6;14
2020;HINATEA;F;6;15
2020;KEALI'I;M;6;16
2020;OWEN;M;6;17
2020;ANAVAI;F;6;18
2020;TEMEIO;M;6;19
2020;NOAH;M;5;20
2019;ETHAN;M;12;1
2019;MANATEA;M;10;2
2019;NOAH;M;9;3
2019;MANAHERE;M;8;4
2019;ANAVAI;F;8;5
2019;KEAHINUI;M;8;6
2019;MIHIVAI;F;7;7
2019;MANAHAU;M;7;8
2019;RAPHAËL;M;7;9
2019;KEONI;M;7;10
2019;OHANA;F;7;11
2019;NUIHAU;M;6;12
2019;KEAHI;M;6;13
2019;ARIIHERE;M;6;14
2019;KEANU;M;6;15
2019;HANAITI;F;6;16
2019;HAKAIKI;M;6;17
2019;KEALI'I;M;6;18
2019;ARIIHAU;M;6;19
2019;HAUKEA;F;6;20
2018;MANOA;M;14;1
2018;ANAVAI;F;13;2
2018;OHANA;F;12;3
2018;MANAHERE;M;11;4
2018;KEANUI;M;9;5
2018;MIHIVAI;F;8;6
2018;ETHAN;M;8;7
2018;KEAHINUI;M;8;8
2018;MIHIAU;F;7;9
2018;TAMATERAI;M;7;10
2018;ARIITEA;M;7;11
2018;MANAVAI;F;7;12
2018;HEIANI;F;7;13
2018;HEREARII;M;7;14
2018;MANATEA;M;7;15
2018;KEANU;M;6;16
2018;WILLIAM;M;6;17
2018;HANITEA;F;6;18
2018;KAIMANA;M;6;19
2018;HEREHIA;F;6;20
2017;KEANU;M;12;1
2017;ANAVAI;F;11;2
2017;KEONI;M;11;3
2017;OHANA;F;10;4
2017;KEANUI;M;9;5
2017;HEIMOANA;M;9;6
2017;NATIHERE;F;9;7
2017;MANATEA;M;8;8
2017;"";M;7;9
2017;IMIVAI;F;7;10
2017;KUMUHEI;F;7;11
2017;TAMATOA;M;7;12
2017;TEMEHANI;F;7;13
2017;KAINOA;M;7;14
2017;HEREARII;M;7;15
2017;MANOA;M;7;16
2017;KYLE;M;6;17
2017;HINAVAI;F;6;18
2017;ENOHA;M;6;19
2017;KYLIAN;M;6;20
2016;OHANA;F;16;1
2016;KEANUI;M;12;2
2016;MANATEA;M;12;3
2016;MANOA;M;11;4
2016;ETHAN;M;9;5
2016;MANAHAU;M;9;6
2016;HANIVAI;F;9;7
2016;GABRIEL;M;8;8
2016;HANIHEI;F;8;9
2016;KYLE;M;8;10
2016;APETAHI;F;8;11
2016;OHANI;F;7;12
2016;HEIANA;F;7;13
2016;HINATEA;F;7;14
2016;MAUI;M;7;15
2016;ENZO;M;7;16
2016;JADE;F;6;17
2016;ALICIA;F;6;18
2016;DYLAN;M;6;19
2016;EDEN;M;6;20
2015;ANUHEA;F;12;1
2015;MANOA;M;11;2
2015;MANATEA;M;11;3
2015;ETHAN;M;9;4
2015;OHANA;F;9;5
2015;NATIHERE;F;8;6
2015;KELLY;F;8;7
2015;HANIVAI;F;8;8
2015;TEIVA;M;8;9
2015;ALEXANDRE;M;7;10
2015;HAKAIKI;M;7;11
2015;TAMAHERE;M;7;12
2015;MARANIA;F;7;13
2015;MIHIAU;F;7;14
2015;GABRIEL;M;7;15
2015;MERAHI;F;7;16
2015;KAINOA;M;7;17
2015;LOUIS;M;7;18
2015;MAHANA;F;6;19
2015;JADE;F;6;20
2014;OHANA;F;16;1
2014;KEANUI;M;12;2
2014;EVA;F;10;3
2014;HEREARII;M;10;4
2014;RYAN;M;10;5
2014;RANITEA;F;9;6
2014;APETAHI;F;9;7
2014;HEINOA;M;9;8
2014;ANAVAI;F;9;9
2014;MANATEA;M;9;10
2014;TEANAVAI;F;8;11
2014;TEVAIARII;M;8;12
2014;POEHERE;F;8;13
2014;HINAVAI;F;8;14
2014;LEA;F;8;15
2014;KUMUHEI;F;8;16
2014;WILLIAM;M;7;17
2014;GABRIEL;M;7;18
2014;JADE;F;7;19
2014;MANAHAU;M;7;20
2013;ETHAN;M;18;1
2013;MANOA;M;14;2
2013;KEANUI;M;10;3
2013;MANUTEA;M;10;4
2013;MANAVAI;F;9;5
2013;ANAVAI;F;9;6
2013;JADE;F;9;7
2013;ARIIHAU;M;9;8
2013;DYLAN;M;8;9
2013;HANIHEI;F;8;10
2013;HANIVAI;F;8;11
2013;VICTOR;M;8;12
2013;HEREITI;F;8;13
2013;TEVAIARII;M;8;14
2013;KEANU;M;7;15
2013;OCEANE;F;7;16
2013;TAMATOA;M;7;17
2013;OHANA;F;7;18
2013;KYLE;M;7;19
2013;MANAHERE;M;7;20
2012;ANAVAI;F;17;1
2012;HANIVAI;F;15;2
2012;KEANU;M;14;3
2012;MANAVAI;F;14;4
2012;MANOA;M;11;5
2012;TEMEHANI;F;10;6
2012;OCEANE;F;10;7
2012;TAMATOA;M;9;8
2012;MANUTEA;M;9;9
2012;GABRIEL;M;9;10
2012;NATIHERE;F;9;11
2012;JADE;F;9;12
2012;KAHAIA;F;8;13
2012;NOHOARII;M;8;14
2012;DYLAN;M;8;15
2012;TAMAHERE;M;8;16
2012;TOANUI;M;8;17
2012;KOHAI;F;8;18
2012;MANAHAU;M;7;19
2012;HINATEA;F;7;20
2011;HANIVAI;F;14;1
2011;MANOA;M;13;2
2011;TAMATOA;M;10;3
2011;KEANU;M;10;4
2011;ENOHA;M;10;5
2011;DYLAN;M;9;6
2011;HEREMOANA;M;9;7
2011;HEREANI;F;9;8
2011;RAIHAU;M;9;9
2011;TAHIARII;M;9;10
2011;ETHAN;M;9;11
2011;ANUHEA;F;9;12
2011;MANAHERE;M;8;13
2011;HEREITI;F;8;14
2011;LANIHEI;F;8;15
2011;MANATEA;M;8;16
2011;NANIHI;F;8;17
2011;ARIIHAU;M;8;18
2011;MANUARII;M;8;19
2011;KYLIAN;M;8;20
