Année;Nombre de mariages;Nombre de mariage de couple de même sexe;Nombre de mariage de couple de sexe différent;Taux de Nuptialite;Age moyen des hommes au mariage;Age moyen des femmes au mariage;Age moyen des hommes au premier mariage;Age moyen des femmes au premier mariage;Etat matrimonial déclaré avant le mariage : Part de célibataire;Etat matrimonial déclaré avant le mariage : Part de divorcé(e);Etat matrimonial déclaré avant le mariage : Part de veuf(ve)
2023;1119;25;1094;4;40,6;36,9;39;35,8;0,906166219838;0,083556747095;0,010277033065
2022;1252;31;1221;4,5;39,4;36,1;37,4;35,1;0,891773162939;0,092651757188;0,015575079872
2021;1052;20;1032;3,8;39,9;36,6;37,8;35,5;0,89686311787;0,08650190114;0,016634980988
2020;867;19;848;3,1;39;35,2;37;34,1;0,905420991926;0,086505190311;0,008073817762
2019;1165;23;1142;4,2;38,6;35,4;37,5;34,5;0,926180257509;0,061373390557;0,012446351931
2018;1389;12;1377;5;38,1;34,6;36,6;33,9;0,921526277897;0,071274298056;0,007199424046
2017;1293;8;1285;4,7;37,9;34,1;36,2;32,9;0,913379737045;0,073085846867;0,013534416086
2016;1487;17;1470;5,4;36,7;33,5;34,9;32,5;0,915601882984;0,073638197713;0,0107599193
2015;1368;13;1355;5;37,3;33,9;35,9;32,7;0,914473684209;0,074195906432;0,011330409356
2014;1370;13;1357;5;36,8;32,9;35,3;31,9;0,916423357662;0,070802919708;0,012773722627
2013;1361;11;1350;5;36,7;33,3;35,9;32,6;0,955547391622;0,036370315944;0,008082292432
2012;1587;0;1587;5,9;36,9;33,4;36;32,8;0,943289224951;0,04599873976;0,010396975425
2011;1355;0;1355;5,1;36,2;32,6;34,8;31,6;0,891881918819;0,066420664206;0,00848708487
2010;1300;0;1300;4,9;36,2;32,3;34,8;31,3;0,921538461538;0,06923076923;0,00923076923
2009;1215;0;1215;4,6;36,7;33;35,1;32;0,918930041151;0,069958847736;0,010699588477
2008;1166;0;1166;4,5;36;32,2;34,4;31,5;0,918953687821;0,072469982847;0,008576329331
2007;1138;0;1138;4,4;36,1;32,2;34,8;31,5;0,925746924428;0,062829525483;0,009226713532
2006;1110;0;1110;4,3;35,5;32,2;34,1;31,2;0,913513513513;0,069819819819;0,014864864864
2005;1049;0;1049;4,1;35,4;31,9;33,8;30,9;0,753574833173;0,077693040991;0,013822688274
2004;1100;0;1100;4,4;35,4;31,3;33,8;30,6;0,912727272726;0,070454545454;0,016818181818
2003;1040;0;1040;4,2;36,2;32,1;34,2;31;0,891826923076;0,08798076923;0,020192307692
2002;1039;0;1039;4,3;35,7;31,8;34,4;30,7;0,905678537054;0,075553416746;0,018768046198
2001;974;0;974;4,1;35,7;31,5;33,9;30,2;0,907084188911;0,07751540041;0,015400410677
2000;1101;0;1101;4,7;35,3;31,2;33,9;30,4;0,907811080835;0,074931880108;0,017257039055
1999;1091;0;1091;4,7;35;31;33,4;29,8;0,91154903758;0,073785517873;0,014665444546
1998;1036;0;1036;4,6;34,4;30,5;33,2;29,7;0,933397683397;0,052606177606;0,013996138996
1997;1137;0;1137;5,1;34,2;30,4;32,9;29,6;0,623131046613;0,063324538258;0,010114335971
1996;1185;0;1185;5,4;33,8;30,2;32,6;29,4;0,929957805906;0,054008438818;0,016033755274
1995;1189;0;1189;5,5;33,4;29,5;32;28,7;0,918839360806;0,065180824222;0,01597981497
1994;1295;0;1295;6,1;32,9;29,2;31,9;28,6;0,941698841698;0,045559845559;0,012741312741
1993;1155;0;1155;5,5;32,7;29,1;31,2;28,1;0,916883116882;0,061904761904;0,021212121212
1992;1131;0;1131;5,5;32,6;28,9;31,3;28;0,930592396108;0,05216622458;0,01724137931
1991;1123;0;1123;5,6;32,1;28,2;31;27,5;0,934105075689;0,053873552983;0,012021371326
1990;1191;0;1191;6,1;31,9;28,5;31;27,9;0,947523089839;0,040302267002;0,012174643157
1989;1172;0;1172;6,1;31,5;28,1;30,6;27,6;0,947952218429;0,037542662116;0,014505119453
1988;1324;0;1324;7;31,1;27,8;30,2;27,3;0,951283987914;0,03172205438;0,016993957703
1987;1251;0;1251;6,8;30,8;27,5;29,6;26,7;0,931654676258;0,05315747402;0,01518784972
1986;1203;0;1203;6,7;30,4;27,2;29,4;26,6;0,94098088113;0,046550290939;0,01246882793
1985;1265;0;1265;7,3;31;27,5;29,9;26,6;0,931225296442;0,05256916996;0,016205533596
1984;1202;0;1202;7,1;31,3;27,4;30;26,6;0,92554076539;0,059484193011;0,014975041597
1983;1249;0;1249;14,9;31,1;27,6;30,1;27;0,939551641313;0,044435548438;0,016012810248
