Année;Age;Sexe;Pop
1983;0;1;-2324
1983;0;2;2301
1983;1;1;-2303
1983;1;2;2115
1983;2;1;-2291
1983;2;2;2151
1983;3;1;-2187
1983;3;2;2125
1983;4;1;-2104
1983;4;2;1998
1983;5;1;-2079
1983;5;2;2009
1983;6;1;-2154
1983;6;2;1993
1983;7;1;-2026
1983;7;2;1914
1983;8;1;-2136
1983;8;2;2078
1983;9;1;-2069
1983;9;2;2084
1983;10;1;-2067
1983;10;2;1993
1983;11;1;-2128
1983;11;2;2154
1983;12;1;-2112
1983;12;2;2042
1983;13;1;-2110
1983;13;2;2046
1983;14;1;-2165
1983;14;2;2039
1983;15;1;-2175
1983;15;2;2043
1983;16;1;-2179
1983;16;2;2165
1983;17;1;-1828
1983;17;2;1792
1983;18;1;-1906
1983;18;2;1855
1983;19;1;-2054
1983;19;2;1771
1983;20;1;-2035
1983;20;2;1613
1983;21;1;-1754
1983;21;2;1607
1983;22;1;-1599
1983;22;2;1348
1983;23;1;-1651
1983;23;2;1469
1983;24;1;-1581
1983;24;2;1404
1983;25;1;-1484
1983;25;2;1297
1983;26;1;-1524
1983;26;2;1341
1983;27;1;-1578
1983;27;2;1439
1983;28;1;-1470
1983;28;2;1308
1983;29;1;-1444
1983;29;2;1222
1983;30;1;-1347
1983;30;2;1238
1983;31;1;-1368
1983;31;2;1270
1983;32;1;-1072
1983;32;2;972
1983;33;1;-1219
1983;33;2;1039
1983;34;1;-1145
1983;34;2;1005
1983;35;1;-1136
1983;35;2;998
1983;36;1;-1026
1983;36;2;866
1983;37;1;-1105
1983;37;2;936
1983;38;1;-975
1983;38;2;850
1983;39;1;-1022
1983;39;2;836
1983;40;1;-971
1983;40;2;833
1983;41;1;-934
1983;41;2;805
1983;42;1;-926
1983;42;2;729
1983;43;1;-957
1983;43;2;780
1983;44;1;-777
1983;44;2;672
1983;45;1;-771
1983;45;2;686
1983;46;1;-761
1983;46;2;665
1983;47;1;-767
1983;47;2;610
1983;48;1;-739
1983;48;2;611
1983;49;1;-721
1983;49;2;613
